,All,Panel A,Panel B,UoA4,Panel C,Panel D
University and College Union,0.01,,,,0.02,
Society for Scottish Medieval and Renaissance Studies,0.01,,,,,0.04
Hunter Archaeological Trust,0.01,,,,,0.04
Yorkshire and Humber Academic Health Science Network,0.01,,,,0.02,
The Task Force for Global Health,0.01,0.03,,,,
North East Public Health Observatory,0.01,,,,0.02,
Chief Fire Officer's Association,0.01,,,,0.02,
Adrian Piper Research Archive Foundation,0.01,,,,,0.04
BT Group,0.01,,0.03,,,
Amgen,0.01,0.03,,,,
PENTA Foundation,0.01,0.03,,,,
Family Action,0.01,,,,0.02,
Estonian Council,0.01,0.03,,,,
German Federal Ministry of Health,0.01,0.03,,,,
Remedi,0.01,0.03,,0.14,,
"Ministry of Health, Welfare and Sport",0.01,0.03,,,,
Association for the Improvement of Mental Health,0.01,0.03,,,,
Fulbright UK-US Commission,0.01,0.03,,0.14,,
13) Innovate UK,0.01,,0.03,,,
Vera Down,0.01,0.03,,0.14,,
Lloyds,0.01,,,,0.02,
Welsh Language Commissioner,0.01,,,,,0.04
Genzyme Therapeutics,0.01,0.03,,,,
9) CST Global,0.01,,0.03,,,
10) Innovate UK,0.01,,0.03,,,
11) EPSRC,0.01,,0.03,,,
12) CST Global,0.01,,0.03,,,
Brian Abernathey,0.01,,0.03,,,
Stand Up To Cancer,0.01,0.03,,,,
Amey Roads Northern Ireland,0.01,,0.03,,,
Coalition for Collaborative Care,0.01,0.03,,0.14,,
South West Academic Health Science Network,0.01,0.03,,0.14,,
Blackburn with Darwen Borough Council,0.01,,,,0.02,
Vestergaard,0.01,0.03,,,,
The Health Foundation Public Health England,0.01,0.03,,,,
The Mary Kinross Charitable Trust managed through Peninsula Medical Foundation,0.01,0.03,,,,
Metal Cladding and Roofing Association,0.01,,,,0.02,
Centre for the Protection of National Infrastructure,0.01,,0.03,,,
Healthcare Quality Improvement,0.01,0.03,,,,
Nigerian Government,0.01,0.03,,,,
Therapeutic Antibodies,0.01,0.03,,,,
British renal society,0.01,0.03,,,,
Oral and dental research trust,0.01,0.03,,,,
Manchester Community Safety Partnership Board,0.01,,,,0.02,
Manchester City Council Public Health Team,0.01,,,,0.02,
Zero Waste Scotland,0.01,,0.03,,,
Money Advice Service,0.01,,,,0.02,
Coventry University,0.01,,,,0.02,
Toyota Motor Corporation (Japan),0.01,,0.03,,,
Vienna Science and Technology Fund,0.01,,0.03,,,
Private Physiotherapy Educational Foundation (PPEF),0.01,,,,0.02,
MODs Armour,0.01,,0.03,,,
Loro Parque Fundacion,0.01,,0.03,,,
Association of Chartered Certified Accountants,0.01,,,,0.02,
Dialogue Matters,0.01,,,,0.02,
National Youth Advocacy Services,0.01,,,,0.02,
Chartered Institute of Building Services Engineers,0.01,,0.03,,,
International Livestock Research Institute,0.01,,,,0.02,
JP Morgan,0.01,,,,0.02,
"St George's, University of London",0.01,0.03,,0.14,,
Secretary of State for Health,0.01,0.03,,0.14,,
Australian Government Office for Learning and Teaching,0.01,,,,0.02,
Bittner Foundation,0.01,,,,0.02,
European Society for Organ Transplantation,0.01,0.03,,,,
Sir Barry Jackson County Fund,0.01,,,,,0.04
The Grimmitt Trust,0.01,,,,,0.04
The Feeney Trust,0.01,,,,,0.04
Severn Trent,0.01,,,,,0.04
Departement Omgiving,0.01,,,,,0.04
Gothenberg Centre for Person Centred Care,0.01,0.03,,0.14,,
European Union Seventh Framework Programme for Research,0.01,0.03,,,,
AVL Powertrain,0.01,,0.03,,,
Foreign and Commonwealth Office UK,0.01,,0.03,,,
Tyndall centre,0.01,,0.03,,,
Dyfed-Powys Police,0.01,,,,0.02,
Ambit Literary Magazine,0.01,,,,,0.04
The Poetry Society,0.01,,,,,0.04
Northumbrian Water,0.01,,0.03,,,
UBS Optimus Foundation,0.01,,,,0.02,
Neville Hall Thrombosis & General Research Fund,0.01,0.03,,,,
The Electoral Commission,0.01,,,,0.02,
The Samaritan Enterprises LTD,0.01,0.03,,0.14,,
"MedicalResearchCouncil,NationalInstituteforHealth Research",0.01,0.03,,,,
"EuropeanCommission,FetalMedicineFoundation",0.01,0.03,,,,
Noble Foundation,0.01,,,,0.02,
Novartis  Pharmaceuticals,0.01,0.03,,,,
Scottish School of Public Health,0.01,0.03,,,,
Parents Against Child Exploitation,0.01,,,,0.02,
Henan Pinggao Electric,0.01,,0.03,,,
European Union Agency,0.01,,,,0.02,
Independent Inquiry into Child Sexual Abuse,0.01,,,,0.02,
The Humane Research Trust Laboratory,0.01,0.03,,,,
Scottish Water,0.01,,0.03,,,
Dana Foundation,0.01,0.03,,0.14,,
London Sustainable Development Commission,0.01,,,,0.02,
UK Council for Psychotherapy,0.01,,0.03,,,
Plaxis,0.01,,0.03,,,
Evelyn Trust,0.01,0.03,,,,
The Organisation for Security and Co-Operation,0.01,,,,0.02,
Shanghai Sieyuan Electric,0.01,,0.03,,,
Software for the Future Call II,0.01,,0.03,,,
International Organisation of Migration,0.01,0.03,,,,
National Acquisitions Group,0.01,,0.03,,,
Insolvency Service,0.01,,,,0.02,
University of Malta,0.01,0.03,,,,
Women's Aid,0.01,,,,0.02,
Higher Education Academy  Psychology Network,0.01,0.03,,,,
CET Pinggao Group,0.01,,0.03,,,
Carbon Trust Offshore Wind Accelerator,0.01,,0.03,,,
Electoral Integrity Project,0.01,,,,0.02,
University of Liverpool,0.01,0.03,,0.14,,
National Osteoporosis Society,0.01,0.03,,,,
Stefanou Foundation,0.01,,,,0.02,
Research into Practice,0.01,,,,0.02,
Disability Action Northern Ireland,0.01,,,,0.02,
Hull Primary Care Trust,0.01,,,,0.02,
Hilton Worldwide,0.01,,0.03,,,
NuVasive,0.01,,0.03,,,
Stryker,0.01,,0.03,,,
National Humanities Center,0.01,,,,,0.04
Oxford Biodynamics,0.01,0.03,,,,
14) CST Global,0.01,,0.03,,,
Onassis Foundation,0.01,0.03,,,,
Karim Rida Said Foundation,0.01,0.03,,,,
Oxford Nanopore Technologies,0.01,,0.03,,,
National Human Genome Research Institute (NHGRI),0.01,,0.03,,,
MSCA Individual Fellowship,0.01,,0.03,,,
Research Grant,0.01,,0.03,,,
P&G,0.01,,0.03,,,
Natural Science Foundation,0.01,,0.03,,,
15) EPSRC,0.01,,0.03,,,
14) EPSRC,0.01,,0.03,,,
New Writing North,0.01,,,,,0.04
Rosetree Trust,0.01,,0.03,,,
Royal National Orthopaedic Hospital,0.01,,0.03,,,
"Applied Molecular Transport, Inc",0.01,0.03,,,,
Hyosung Corporation Power & Indust Systems,0.01,,0.03,,,
Derbyshire Police and Crime Commissioner,0.01,,,,0.02,
The Premier League Charitable Fund,0.01,,,,0.02,
Anglian Water,0.01,,0.03,,,
WWF,0.01,,,,0.02,
Royal College of Surgeons of England,0.01,0.03,,,,
Global Partnership to End Violence Against Children,0.01,,,,0.02,
Save the Children,0.01,,,,0.02,
Federal Ministry of Education and Research (BMBF),0.01,0.03,,0.14,,
15) CST Global,0.01,,0.03,,,
Strategic Insight Programme,0.01,0.03,,,,
The Wine Industry Ethical Trade Association,0.01,,,,0.02,
The Sustainable Trade Initiative,0.01,,,,0.02,
Tesco,0.01,,,,0.02,
Cambridge Real Estate Research Centre,0.01,,,,0.02,
Creative Futures Literary Award,0.01,,,,,0.04
Epigenesys,0.01,0.03,,,,
Against Malaria Foundation,0.01,0.03,,,,
Rugby Football Union,0.01,,,,0.02,
Ecosystem Services for Poverty Alleviation,0.01,,,,0.02,
Exeter City Council,0.01,,,,0.02,
The Rural Partnership,0.01,,,,0.02,
AgorIP,0.01,,0.03,,,
Binx Health,0.01,,0.03,,,
5Rights Foundation,0.01,,,,,0.04
Jaguar Land Rover Automotive,0.01,,0.03,,,
Renault Nissan Group,0.01,,0.03,,,
Coneckt,0.01,,0.03,,,
Machines with Vision,0.01,,0.03,,,
Porticus International,0.01,,,,,0.04
The Jerusalem Trust,0.01,,,,,0.04
The Newman Association,0.01,,,,,0.04
The Caulfield Foundation,0.01,,,,,0.04
National Board of Catholic Women,0.01,,,,,0.04
University College Union,0.01,,,,0.02,
Aga Khan Foundation,0.01,,,,0.02,
Franckesche Stiftungen,0.01,,,,,0.04
University Hospitals Coventry and Warwickshire NHS Trust,0.01,0.03,,,,
Department of Energy and Climate Change,0.01,,,,0.02,
BNP Paribas Foundation,0.01,,0.03,,,
International Rugby Board,0.01,,,,0.02,
Parrots International,0.01,,0.03,,,
Healthy Housing Solutions,0.01,,,,0.02,
Sunderland City Council,0.01,,,,0.02,
The Crown Estate,0.01,,0.03,,,
Darwin Plus,0.01,0.03,,,,
Marine Conservation Society,0.01,0.03,,,,
North Lanarkshire Council,0.01,,,,0.02,
South Lanarkshire Council,0.01,,,,0.02,
Fire Brigades Union,0.01,,0.03,,,
Advion,0.01,,0.03,,,
Crowd funding,0.01,0.03,,,,
Institute of Fisheries Management,0.01,,,,0.02,
SNIFFER,0.01,,,,0.02,
World Olympics Association,0.01,,,,0.02,
European Corporation in Science and Technology,0.01,,,,,0.04
"American Society of Heating, Refrigerating and Air-Conditioning Engineers",0.01,,,,,0.04
Nissan Motor Manufacturing,0.01,,,,,0.04
World Pheasant Association,0.01,,0.03,,,
"Bluecoat, Liverpool",0.01,,,,,0.04
Centre 151,0.01,,,,,0.04
The Executive Office,0.01,,,,,0.04
Swansea Healthcare Innovation Partnership Programme,0.01,,0.03,,,
Transport Systems Catapult,0.01,,0.03,,,
MRX Technologies,0.01,,0.03,,,
Public Health Wessex,0.01,,,,0.02,
Let's Do Business Group,0.01,,,,0.02,
Cambrensis,0.01,,0.03,,,
Interface Food and Drink,0.01,,0.03,,,
Ara Parseghian Medical Research Foundation,0.01,0.03,,,,
Niemann-Pick,0.01,0.03,,,,
Orphazyme,0.01,0.03,,,,
Actelion,0.01,0.03,,,,
Lister Institute of Preventive Medicine,0.01,0.03,,,,
Garfield Weston,0.01,,,,0.02,
Mexican Health Ministry,0.01,0.03,,,,
Rotary,0.01,,,,0.02,
Wessex Heartbeat,0.01,,,,0.02,
Danone  Nutricia,0.01,,,,0.02,
"European Regional Development Fund, North West Development Agency",0.01,,0.03,,,
Alstom,0.01,,0.03,,,
St. David’s Medical Foundation,0.01,,0.03,,,
The Jockey Club of North America,0.01,0.03,,,,
Office of Communications,0.01,,0.03,,,
Netherlands Government,0.01,,,,0.02,
Cancer Research Wales,0.01,,0.03,,,
Swiss Government,0.01,,,,0.02,
Philomathia Foundation,0.01,,,,0.02,
Ecorys,0.01,0.03,,0.14,,
Animal Free Research UK,0.01,,0.03,,,
Seagate Technologies,0.01,,0.03,,,
Scottish Centre for Crime and Justice Research,0.01,,,,0.02,
Grayson–Jockey Club Research Foundation,0.01,0.03,,,,
Scottish Universities Insights Institute,0.01,,,,0.02,
National Oceanic and Atmospheric Administration,0.01,,,,,0.04
Titan Salvage,0.01,,,,,0.04
ADUS Deepocean,0.01,,,,,0.04
The Almshouse Association,0.01,,,,0.02,
Independent Research Foundation,0.01,,,,,0.04
Glasgow School of Art,0.01,,,,,0.04
Mind Gym,0.01,,,,0.02,
Association of South East Asian Studies,0.01,,,,,0.04
The Gas Safety Trust,0.01,,,,0.02,
Haygain,0.01,0.03,,,,
Mars,0.01,,,,0.02,
Waltham Centre for Pet Nutrition,0.01,0.03,,,,
Fred and Marjory Sainsbury Trust,0.01,0.03,,,,
Conventions Industrielles de Formation Par La Recherche,0.01,0.03,,,,
DePuy International,0.01,,0.03,,,
Rockefellar Foundation,0.01,,,,0.02,
Alcohol Research UK,0.01,0.03,,,,
Academy of Marketing,0.01,,,,0.02,
British Ecological Society,0.01,,,,0.02,
Chatered Institute of Management Accountants,0.01,,,,0.02,
Gatsby Foundation,0.01,,,,0.02,
EU Culture Programme,0.01,,,,,0.04
Highland and Islands Enterprise,0.01,,,,,0.04
Hull City Council,0.01,,,,,0.04
Augean,0.01,,0.03,,,
Tate & Lyle,0.01,,0.03,,,
VISTA AR,0.01,,,,,0.04
Scottish Power Renewables,0.01,,0.03,,,
Fondation Bertarelli,0.01,,,,0.02,
Academy of Medical Sciences,0.01,,,,0.02,
Sugar Nutrition UK,0.01,0.03,,0.14,,
Dartington Hall Trust,0.01,,,,0.02,
Salford City Counci l,0.01,,,,0.02,
Croydon Family Action,0.01,,,,0.02,
"St George's, Bloomsbury",0.01,,,,,0.04
Drinkaware Trust,0.01,0.03,,0.14,,
Nottingham CityCare Partnership Community Interest Company,0.01,0.03,,,,
Programa Integral de Seguridad Ciudadana,0.01,,,,0.02,
Moray Offshore Renewables,0.01,,0.03,,,
Police and Crime Commissioner for Nottinghamshire,0.01,,,,,0.04
Aldeburgh Music,0.01,,,,,0.04
Beatrice Offshore Windfarm,0.01,,0.03,,,
Safety and Security of Citizens and Society,0.01,,,,0.02,
Bayer CropSciences,0.01,0.03,,,,
Smith and Nephew Foundation,0.01,0.03,,,,
European Centre for Disease Control,0.01,0.03,,,,
British Infection Association,0.01,0.03,,,,
Omohundro Institute of Early America History and Culture,0.01,,,,,0.04
Sugar Bureau,0.01,,,,0.02,
Chartered Institute of Environmental Health,0.01,,,,0.02,
General Medical Council,0.01,,,,,0.04
Protection Science and Technology Centre,0.01,,0.03,,,
The Language Training and Testing Center,0.01,,,,,0.04
Water JPI,0.01,,0.03,,,
UK General Lighthouse Authorities,0.01,,0.03,,,
National Back Pain Association,0.01,0.03,,0.14,,
University College of Osteopathy,0.01,0.03,,0.14,,
Eurospine,0.01,0.03,,0.14,,
Chan Zuckerberg Initiative,0.01,0.03,,0.14,,
Society for Reproductive and Infant Psychology,0.01,0.03,,0.14,,
Fertility Network UK,0.01,0.03,,0.14,,
Stanley Medical Research Institute Psychosis Research Center,0.01,0.03,,0.14,,
Association of Business Recovery Professionals,0.01,,,,0.02,
Manolete Partners,0.01,,,,0.02,
Office of Fair Trading,0.01,,,,0.02,
IELTS Partners,0.01,,,,,0.04
The Deputy Prime Minister’s Office,0.01,,,,0.02,
Newcastle City Council,0.01,,,,0.02,
Rural Health Allocation Forum,0.01,,,,0.02,
Venus Charity,0.01,,,,0.02,
Chevron,0.01,,0.03,,,
New Opportunities for Research Funding Co-operation Agency,0.01,,,,0.02,
Catholic Bishops Conference of England and Wales Board of Religious Studies,0.01,,,,,0.04
Sweden Expert Group for Public Economics,0.01,,,,,0.04
Finnish Centre for Pensions,0.01,,,,,0.04
Climate Development Knowledge Network,0.01,,,,0.02,
Ministry of Culture and National Heritage,0.01,,,,,0.04
Swedish National Heritage Board,0.01,,,,,0.04
Acacia project,0.01,0.03,,,,
Center for Global Development,0.01,,,,0.02,
Northern Periphery and Artic Programme,0.01,,,,,0.04
G1: Big Lottery,0.01,,,,,0.04
"School of Advanced Study, University of London",0.01,,,,,0.04
Horticultural Development Council,0.01,,0.03,,,
Culham St Gabriel’s Trust,0.01,,,,0.02,
St Luke’s College Foundation,0.01,,,,0.02,
NovoNordisk,0.01,0.03,,,,
European Foundation for the Study of Diabetes,0.01,0.03,,,,
Joseph Rowantree Foundation,0.01,,,,0.02,
Scottish Institute of Sport Federation,0.01,,,,0.02,
English Nature,0.01,,,,0.02,
Naomi Berrie Foundation,0.01,0.03,,,,
Harry Ransom Center,0.01,,,,,0.04
Loeb Classical Library,0.01,,,,,0.04
Verastem,0.01,0.03,,,,
JGW Patterson Foundation,0.01,0.03,,,,
BioMarin,0.01,0.03,,,,
Trading Standards,0.01,,,,0.02,
Royal Mail,0.01,,,,0.02,
The Esmée Fairbairn Foundation,0.01,,,,0.02,
The Samworth Foundation,0.01,,,,0.02,
Healthcare Medical Trust,0.01,0.03,,,,
Symology,0.01,,0.03,,,
NatureScot,0.01,0.03,,,,
Shakespeare Birthplace Trust,0.01,,,,0.02,
Northern Ireland Executive Office,0.01,,,,0.02,
"Council for Museums, Archives and Libraries",0.01,,,,,0.04
US National Institute of Justice,0.01,,,,0.02,
Kirklees Council,0.01,,,,0.02,
DATASAT Europe,0.01,,0.03,,,
Diabetes Research and Wellness Foundation,0.01,0.03,,,,
Abbott Point of Care,0.01,0.03,,,,
Crisis and National Housing Federation,0.01,,,,0.02,
Ningbo Natural Science Foundation,0.01,,0.03,,,
Natural Science Foundation of China,0.01,,0.03,,,
National Social Science Foundation of China,0.01,,0.03,,,
SCG Innovation Fund,0.01,,0.03,,,
Berendel Foundation,0.01,,,,,0.04
Orkney Islands Council,0.01,,0.03,,,
Marine Scotland via Orkney Sustainable Fisheries Ltd and Orkney Fisheries Association,0.01,,0.03,,,
The Blankemeyer Foundation,0.01,,,,,0.04
Scottish Arts Council,0.01,,,,0.02,
British Educational Research Association,0.01,,,,0.02,
ITF Sefarers Trust,0.01,,,,0.02,
REACT Engineering,0.01,,0.03,,,
Martec,0.01,,,,0.02,
"Department of Agriculture, Environment and Rural Affairs (DAERA)",0.01,0.03,,,,
The Mercia Fund,0.01,0.03,,,,
National Housing and Planning Advice Unit Period,0.01,,,,0.02,
Gloucestershire County and Districts Councils,0.01,,,,0.02,
Calderdale Council,0.01,,,,0.02,
Flemish Peace Foundation,0.01,,,,0.02,
RAND Corporation,0.01,,,,0.02,
The Tavistock Institute,0.01,,,,0.02,
West Yorkshire Combined Authority,0.01,,,,0.02,
Historic Scotland,0.01,,,,0.02,
Imperial College Healthcare Charity,0.01,0.03,,,,
NIHR Imperial Biomedical Research Centre,0.01,0.03,,,,
South Wales Police,0.01,,,,0.02,
"The School of Advanced Study, London",0.01,,,,,0.04
Literature Wales,0.01,,,,,0.04
Institute of Coaching,0.01,,,,0.02,
Irish Government,0.01,,,,0.02,
University of Wales Trinity Saint David,0.01,,,,0.02,
Crown Estate Scotland,0.01,,,,0.02,
European Financial Reporting Advisory Group,0.01,,,,0.02,
InterTrade Ireland,0.01,,,,0.02,
Scottish Executive Environment and Rural Affairs Department,0.01,0.03,,,,
Pigshed Trust,0.01,,,,0.02,
NIH USA,0.01,,0.03,,,
Holos Life Sciences,0.01,,,,0.02,
National Housing and Planning Advisory Unit,0.01,,,,0.02,
Centre for Cities,0.01,,,,0.02,
British Council and Higher Education Commission Pakistan,0.01,,,,0.02,
Law Society of Ireland,0.01,,,,0.02,
German government,0.01,,,,0.02,
Plastics Ocean Foundation,0.01,,,,0.02,
Sussex Impact Acceleration Award,0.01,,,,0.02,
US Department of Defense,0.01,,,,0.02,
Bar Standards Board,0.01,,,,0.02,
Solicitors Regulation Authority,0.01,,,,0.02,
CILEx Regulation,0.01,,,,0.02,
Community Foundation Northern Ireland,0.01,,,,0.02,
Rothamsted Research,0.01,,0.03,,,
Northern Ireland Community Relations Council,0.01,,,,0.02,
Department of Foreign Affairs,0.01,,,,0.02,
Scottish Library and Information Council,0.01,,,,,0.04
Scottish Accountancy Trust for Education and Research,0.01,,,,0.02,
Channel 4,0.01,,,,0.02,
Institute of Chartered Accountants of Scotland,0.01,,,,0.02,
Defense Advanced Research Projects Agency,0.01,,0.03,,,
Laerdal Foundation,0.01,0.03,,,,
BIS and British Council,0.01,,,,0.02,
Operation Wallacea,0.01,,0.03,,,
The Borrow Foundation,0.01,0.03,,,,
Vestemi,0.01,,,,0.02,
Hildebrand Technologies,0.01,,,,0.02,
Knauf,0.01,,,,0.02,
BEAMA,0.01,,,,0.02,
Saint Gobain,0.01,,,,0.02,
Thyssen Foundation,0.01,,,,0.02,
SITA Environmental Trust,0.01,,,,0.02,
Kern Family Foundation,0.01,,,,0.02,
John Templeton World Charity Foundation,0.01,,,,0.02,
Chartered Accountants Ireland Educational Trust,0.01,,,,0.02,
British Gas,0.01,,0.03,,,
EA Technology,0.01,,0.03,,,
German Federal Ministry for Economic Cooperation and Development (BMZ),0.01,,,,0.02,
Control and Instrumentation Nuclear Industry Forum,0.01,,0.03,,,
Railtrack,0.01,,0.03,,,
British Association of Chartered Physiotherapists in Amputee Rehabilitation,0.01,,,,0.02,
Help for Health,0.01,,,,0.02,
Wrexham County Borough Council,0.01,,,,,0.04
Organix Foundation,0.01,0.03,,,,
Community Transport Association,0.01,,,,0.02,
National Institute of Dental and Craniofacial Research,0.01,0.03,,,,
University of Aberdeen Development Trust,0.01,,,,0.02,
Leicester City Council,0.01,,,,0.02,
Rotherham Metropolitan Borough Council,0.01,,,,0.02,
ECB National Cricket Academy,0.01,,,,0.02,
Teacher Training Agency,0.01,,,,0.02,
Innovia Films,0.01,,0.03,,,
Association of Commonwealth Universities,0.01,0.03,,,,
Merial Animal Health,0.01,0.03,,,,
Ministry of Higher Education,0.01,0.03,,,,
Department for the Economy Northern Ireland,0.01,,,,0.02,
National Patient Safety Agency,0.01,0.03,,0.14,,
Ford Foundation,0.01,,,,0.02,
Northern Powergrid,0.01,,0.03,,,
Institute for New Economic Thinking,0.01,,,,0.02,
Freedom from Torture,0.01,0.03,,,,
Fundatia Terre des homme Elvetia,0.01,0.03,,,,
"Asylum, Migration and Integration Fund",0.01,0.03,,,,
Ludwig Boltzmann Gesellschaft,0.01,,,,,0.04
Simon Fraser University,0.01,,,,,0.04
Vindolanda Trust,0.01,,,,,0.04
Roman Research Trust,0.01,,,,,0.04
Museums Galleries Scotland,0.01,,,,,0.04
Scottish Graduate School of Arts and Humanities,0.01,,,,,0.04
Rift Valley Institute,0.01,,,,,0.04
Forest Research Institute,0.01,,0.03,,,
Templeton Religious Trust,0.01,,,,,0.04
Templeton Religion Trust,0.01,,,,,0.04
Mersey Care NHS Foundation Trust,0.01,0.03,,0.14,,
Sport Canada,0.01,,,,0.02,
Glasgow Life,0.01,,,,0.02,
The Microbiology Society,0.01,0.03,,,,
Avaaz,0.01,,,,,0.04
MOSTYN Gallery,0.01,,,,,0.04
"Education Above All, Qatar",0.01,,,,0.02,
Scottish Fisheries Innovation Centre,0.01,,0.03,,,
Countryside Council of Wales,0.01,,,,0.02,
Psychiatry Research Trust,0.01,0.03,,0.14,,
UNAIDS,0.01,0.03,,,,
Hugh Fraser Foundation,0.01,,,,,0.04
RENG  and SWRI,0.01,,0.03,,,
Syft Technologies,0.01,,0.03,,,
"Department of Agriculture, Animal and Plant Health Inspection Service",0.01,,0.03,,,
Institute for Classical Studies,0.01,,,,,0.04
European Organisation for Research and Treatment of Cancer,0.01,0.03,,,,
North West Cancer Research,0.01,0.03,,,,
Joint UK Funding of Global Health Research Initiatives,0.01,0.03,,,,
Standard Life Investments,0.01,,0.03,,,
International Atomic Energy Agency,0.01,,,,0.02,
Norwegian Radiation Protection Authority,0.01,,,,0.02,
"Edmund J. Safra Center for Ethics, Harvard University",0.01,,,,,0.04
Givaudan,0.01,,0.03,,,
Global Action Plan,0.01,,,,0.02,
British Energy,0.01,,0.03,,,
US National Oceanic and Atmospheric Administration,0.01,,0.03,,,
Social Mobility Commission,0.01,,,,0.02,
UK Carbon Capture and Research Centre,0.01,,0.03,,,
London Borough of Waltham Forest,0.01,0.03,,,,
City of London Coperation [GBR},0.01,,,,0.02,
German Academic Exchange Service,0.01,,,,,0.04
Senhouse Museum Trust,0.01,,,,0.02,
Further Education Trust for Leadership,0.01,,,,0.02,
George Davies Early Career Award,0.01,0.03,,,,
Greenwich Leisure,0.01,,0.03,,,
Nicholas Institute of Sports Medicine and Athletic Trauma,0.01,,,,0.02,
Regional Studies Association,0.01,,,,0.02,
Co-operation Ireland,0.01,,,,0.02,
Irish Department of Foreign Affairs Reconciliation Fund,0.01,,,,0.02,
UNITAS,0.01,,,,0.02,
Derby and Nottinghamshire Collaborative Outreach Project,0.01,,,,0.02,
Derbyshire County Council,0.01,,,,0.02,
Derby County Community Trust,0.01,,,,0.02,
Malone Society,0.01,,,,,0.04
Campaign to End Loneliness,0.01,,,,0.02,
World Economic Forum,0.01,,,,0.02,
Springer,0.01,,0.03,,,
Elsevier,0.01,,0.03,,,
High Performance Swimming,0.01,,,,0.02,
British Swimming,0.01,,,,0.02,
Modern Art Oxford,0.01,,,,,0.04
Institutional University Cooperation,0.01,,,,0.02,
British Council and Higher Education Commission of Pakistan,0.01,0.03,,0.14,,
German Research Council,0.01,,,,,0.04
Campaign to Protect Rural England,0.01,,,,0.02,
Smoke Free North East,0.01,0.03,,,,
Smoke Free South West,0.01,0.03,,,,
Tobacco Free Futures,0.01,0.03,,,,
Trades Union Congress,0.01,,,,0.02,
European Federation of Building and Woodworkers,0.01,,,,0.02,
Ghent University,0.01,,,,0.02,
Thompson Solicitors,0.01,,,,0.02,
Essex County Council,0.01,,,,0.02,
Centre of Expertise for Waters,0.01,,0.03,,,
British Veterinary Association,0.01,0.03,,,,
Russell IPM,0.01,0.03,,,,
Scotrail,0.01,,0.03,,,
Centre Internationale de Recherches Médicales de Franceville,0.01,,,,0.02,
US Fish and Wildlife Service International,0.01,,,,0.02,
Centre for Process Innovation,0.01,,,,0.02,
Networked Quantum Information Technologies,0.01,,0.03,,,
International Paralympic Committee,0.01,,,,0.02,
Drill Hall Canberra,0.01,,,,,0.04
Emory and Harvard Hutchins Centre,0.01,,,,,0.04
Andrew Mellon,0.01,,,,,0.04
American Academy of Arts and Sciences,0.01,,,,,0.04
Scottish and Northern Ireland Forum For Environmental Research,0.01,,,,0.02,
Invest Northern Ireland,0.01,0.03,,,,
Coalition of Care and Support Providers in Scotland,0.01,,,,0.02,
Institute for Fiscal Studies,0.01,,,,0.02,
British Occupational Health Research Foundation,0.01,0.03,,0.14,,
National Treatment Agency,0.01,0.03,,0.14,,
Dog Welfare Trust,0.01,0.03,,,,
Mundipharma,0.01,0.03,,0.14,,
Kennel Club Charitable Trust,0.01,0.03,,,,
Scottish Institute for Remanufacturing,0.01,,0.03,,,
Mitsubishi Heavy Industries,0.01,,0.03,,,
Rural and Environment Research and Analysis Directorate,0.01,0.03,,,,
Brighton and Hove Commissioners,0.01,0.03,,,,
"Kent, Surrey and Sussex Deanery",0.01,0.03,,,,
British Society of Aesthetics,0.01,,,,,0.04
"Ministry for the Environment, Nature Conservation, Building and Nuclear Safety",0.01,,0.03,,,
Alan Turing Institute,0.01,,,,0.02,
European Heart Rhythm Association,0.01,0.03,,,,
International Council on Systems Engineering,0.01,,0.03,,,
SureScreen Scientifics,0.01,,0.03,,,
La Montagne des Singles,0.01,0.03,,0.14,,
Being Human Festival:WT,0.01,,,,,0.04
Bibliographical Society of America,0.01,,,,,0.04
University of Roehampton,0.01,0.03,,0.14,,
Georg-August-Uni Göttingen,0.01,0.03,,0.14,,
Greater Taiwan Biennale,0.01,,,,,0.04
Sapienza University,0.01,0.03,,0.14,,
International Primatological Society,0.01,0.03,,0.14,,
Affenberg Salem,0.01,0.03,,0.14,,
SecondHands,0.01,,0.03,,,
Primate Society of GB,0.01,0.03,,0.14,,
Christian Vogel Fonds,0.01,0.03,,0.14,,
Leakey Foundation,0.01,0.03,,0.14,,
Julia and Hans Rausing Trust,0.01,,,,0.02,
Eurpoean Commission (via WEFO),0.01,0.03,,,,
Science and Technology Development Fund,0.01,,,,0.02,
BirdLife International,0.01,0.03,,,,
Lincolnshire County Council,0.01,,,,0.02,
Department for Business Innovation and Skills,0.01,,,,0.02,
US Air Force Office of Scientific Research,0.01,,0.03,,,
International Service for Human Rights,0.01,,,,0.02,
European Union Aviation Safety Agency,0.01,,0.03,,,
"Older People’s Commissioner, Wales",0.01,,,,0.02,
ABP Food Group,0.01,0.03,,,,
LGC,0.01,0.03,,,,
Micromass,0.01,0.03,,,,
SafeFood,0.01,0.03,,,,
Waters Ltd,0.01,0.03,,,,
British School of Archaeology in Iraq,0.01,,,,,0.04
Norwegian Institute for Palaeography and Historical Philology,0.01,,,,,0.04
Princeton University,0.01,,,,,0.04
School of the Art Institute Chicago Sullivan Galleries,0.01,,,,,0.04
Early Career Fellowship,0.01,,,,,0.04
Research Workshops scheme,0.01,,,,,0.04
Historic Royal Palaces,0.01,,,,,0.04
Quake/Dance4,0.01,,,,,0.04
Japan Society for the Promotion of Science UK,0.01,,,,,0.04
International Shooting Sport Federation,0.01,,,,0.02,
